2.870000000e+00 -2.688533642e-04  1.532939824e-01 -2.160437148e-10
2.880000000e+00 -2.692837142e-04  1.532542349e-01 -2.179710670e-10
2.890000000e+00 -2.697223472e-04  1.532143454e-01 -2.048253020e-10
2.900000000e+00 -2.701515712e-04  1.531743252e-01 -2.141157459e-10
2.910000000e+00 -2.705869111e-04  1.531341599e-01 -2.022922812e-10
2.920000000e+00 -2.710248768e-04  1.530938553e-01 -2.112795173e-10
2.930000000e+00 -2.714608144e-04  1.530534152e-01 -2.000228353e-10
2.940000000e+00 -2.718906871e-04  1.530128421e-01 -2.087069874e-10
2.950000000e+00 -2.723299478e-04  1.529721213e-01 -2.042542236e-10
2.960000000e+00 -2.727691226e-04  1.529312699e-01 -2.181001905e-10
2.970000000e+00 -2.732109953e-04  1.528902712e-01 -2.144964237e-10
2.980000000e+00 -2.736528615e-04  1.528491407e-01 -2.043655561e-10
2.990000000e+00 -2.740967783e-04  1.528078702e-01 -2.170231983e-10
3.000000000e+00 -2.745447242e-04  1.527664522e-01 -2.196657497e-10
3.010000000e+00 -2.749944703e-04  1.527248977e-01 -2.133535684e-10
3.020000000e+00 -2.754416969e-04  1.526832120e-01 -2.204078585e-10
3.030000000e+00 -2.758927543e-04  1.526413757e-01 -2.051165197e-10
3.040000000e+00 -2.763448840e-04  1.525994038e-01 -2.055873997e-10
3.050000000e+00 -2.767976982e-04  1.525572969e-01 -2.078079071e-10
3.060000000e+00 -2.772526339e-04  1.525150509e-01 -2.187991928e-10
3.070000000e+00 -2.777090785e-04  1.524726680e-01 -2.186835507e-10
3.080000000e+00 -2.781664959e-04  1.524301389e-01 -2.071334047e-10
3.090000000e+00 -2.786266350e-04  1.523874736e-01 -2.150686943e-10
3.100000000e+00 -2.790864766e-04  1.523446718e-01 -2.073999754e-10
3.110000000e+00 -2.795472527e-04  1.523017302e-01 -2.142730671e-10
3.120000000e+00 -2.800112249e-04  1.522586488e-01 -2.221215913e-10
3.130000000e+00 -2.804765791e-04  1.522154244e-01 -2.067038771e-10
3.140000000e+00 -2.809431658e-04  1.521720636e-01 -2.094011887e-10
3.150000000e+00 -2.814109024e-04  1.521285663e-01 -2.189786988e-10
3.160000000e+00 -2.818809221e-04  1.520849239e-01 -2.063841459e-10
3.170000000e+00 -2.823565863e-04  1.520411395e-01 -2.274372037e-10
3.180000000e+00 -2.828296104e-04  1.519972208e-01 -2.147910500e-10
3.190000000e+00 -2.833056570e-04  1.519531666e-01 -2.172546316e-10
3.200000000e+00 -2.837843198e-04  1.519089673e-01 -2.293606361e-10
3.210000000e+00 -2.842639938e-04  1.518646336e-01 -2.083191848e-10
3.220000000e+00 -2.847449160e-04  1.518201560e-01 -2.256152546e-10
3.230000000e+00 -2.852246966e-04  1.517755362e-01 -2.281264167e-10
3.240000000e+00 -2.857122561e-04  1.517307750e-01 -2.241746932e-10
3.250000000e+00 -2.861956018e-04  1.516858781e-01 -2.161447643e-10
3.260000000e+00 -2.866811135e-04  1.516408420e-01 -2.181664075e-10
3.270000000e+00 -2.871676269e-04  1.515956724e-01 -2.286095868e-10
3.280000000e+00 -2.876556665e-04  1.515503535e-01 -2.132075589e-10
3.290000000e+00 -2.881449738e-04  1.515048992e-01 -2.123988432e-10
3.300000000e+00 -2.886364388e-04  1.514593089e-01 -2.253822782e-10
3.310000000e+00 -2.891306429e-04  1.514135768e-01 -2.125489096e-10
3.320000000e+00 -2.896207992e-04  1.513677074e-01 -2.216126476e-10
3.330000000e+00 -2.901191255e-04  1.513217008e-01 -2.315106210e-10
3.340000000e+00 -2.906214248e-04  1.512755468e-01 -2.178137169e-10
3.350000000e+00 -2.911210792e-04  1.512292567e-01 -2.243460894e-10
3.360000000e+00 -2.916148838e-04  1.511828286e-01 -2.127770360e-10
3.370000000e+00 -2.921139201e-04  1.511362563e-01 -2.274577556e-10
3.380000000e+00 -2.926149107e-04  1.510895392e-01 -2.196215070e-10
3.390000000e+00 -2.931185012e-04  1.510426964e-01 -2.274532256e-10
3.400000000e+00 -2.936222683e-04  1.509957073e-01 -2.323265858e-10
3.410000000e+00 -2.941306464e-04  1.509485857e-01 -2.258277429e-10
3.420000000e+00 -2.946356273e-04  1.509013194e-01 -2.200587290e-10
3.430000000e+00 -2.951327674e-04  1.508539182e-01 -2.209555836e-10
3.440000000e+00 -2.956415387e-04  1.508063668e-01 -2.154720814e-10
3.450000000e+00 -2.961475784e-04  1.507586850e-01 -2.264008977e-10
3.460000000e+00 -2.966508907e-04  1.507108578e-01 -2.223374805e-10
3.470000000e+00 -2.971639153e-04  1.506628945e-01 -2.396353038e-10
3.480000000e+00 -2.976843161e-04  1.506147855e-01 -2.216870287e-10
3.490000000e+00 -2.982011180e-04  1.505665422e-01 -2.277625413e-10
3.500000000e+00 -2.987294018e-04  1.505181561e-01 -2.325798994e-10
3.510000000e+00 -2.992538127e-04  1.504696258e-01 -2.197666534e-10
3.520000000e+00 -2.997717636e-04  1.504209629e-01 -2.330143397e-10
3.530000000e+00 -3.002955526e-04  1.503721571e-01 -2.283704405e-10
3.540000000e+00 -3.008278350e-04  1.503232173e-01 -2.170145686e-10
3.550000000e+00 -3.013494924e-04  1.502741338e-01 -2.416009225e-10
3.560000000e+00 -3.018869451e-04  1.502249018e-01 -2.304481768e-10
3.570000000e+00 -3.024219531e-04  1.501755402e-01 -2.360547709e-10
3.580000000e+00 -3.029587534e-04  1.501260383e-01 -2.377291436e-10
3.590000000e+00 -3.034928578e-04  1.500763887e-01 -2.356439555e-10
3.600000000e+00 -3.040292284e-04  1.500266099e-01 -2.240812208e-10
3.610000000e+00 -3.045648153e-04  1.499766901e-01 -2.434619195e-10
3.620000000e+00 -3.051010773e-04  1.499266268e-01 -2.328199676e-10
3.630000000e+00 -3.056458101e-04  1.498764256e-01 -2.264190132e-10
3.640000000e+00 -3.061821886e-04  1.498260828e-01 -2.193426271e-10
3.650000000e+00 -3.067292747e-04  1.497756009e-01 -2.271128270e-10
3.660000000e+00 -3.072740141e-04  1.497249855e-01 -2.375378610e-10
3.670000000e+00 -3.078173089e-04  1.496742182e-01 -2.422968309e-10
